GB801141661,001428433-0204
GB801141662,002254174-0305
GB801000265,000438554-0103
GB801000020,000181478-0403
GB801091030,000136791-0103
GB801181910,000536017-0103
GB801091032,000495024-0103
GB801181911,000130052-0103
GB801191958,000617709-0102
GB801091033,000259875-0103
GB801091036,000145395-0103
GB801091037,000526233-0403
GB801921143,000919217-0401
GB801091039,000397394-0404
GB801921141,000285195-0103
GB801850389,000801154-0403
GB801040515,000401405-0401
GB801040516,000520739-0401
GB801191955,001498114-0103
GB801002494,000772456-0403
GB801181915,000236614-0102
GB801191953,001996995-0403
GB801191954,000701753-0404
GB801191951,000940841-0103
GB801181918,000918964-0403
GB801181919,001174148-0103
GB801040511,000527704-0103
GB801002496,002068254-0101
GB801191950,001478273-0103
GB801002495,000121484-0401
GB801000076,000462227-0102
GB801191948,000964116-0404
GB801181900,000167129-0403
GB801091042,000268461-0403
GB801181901,000970874-0403
GB801191947,000551131-0103
GB801181902,000381471-0103
GB801091049,000321714-0403
GB802000027,000348822-0504
GB801921130,000902786-0102
GB801921131,000413806-0304
GB801040502,000422297-0403
GB801000081,002203993-0403
GB801191945,000102496-0403
GB801181904,000286118-0103
GB801181905,000617921-0401
GB801181906,000346656-0103
GB801040500,000341354-0103
GB801191939,000661604-0402
GB801091010,000302911-0204
GB801091012,000888608-0103
GB801091013,000922672-0103
GB801010095,000398705-0103
GB801010097,000192945-0103
GB801921164,000449827-0102
GB801010089,000928687-0402
GB801990215,000354574-0102
GB801000051,000432099-0402
GB801120785,000574762-0306
GB801990227,000231233-0103
GB801000060,000462633-0103
DB801010013,001041244-0102
GB801992400,000878639-0401
GB801992403,000904397-0403
GB801990224,002330855-0403
GB801000065,000116321-0401
DB801140933,003279713-0403
GB801890751,000425079-0102
GB801992412,000172008-0403
GB801992414,000181681-0103
GB801990235,000369396-0403
GB801990253,000182622-0403
GB801921575,000214174-0403
GB802960014,000510107-0504
DB801150987,000471131-0306
GB801890745,002366804-0402
GB802960007,000522729-0504
GB801990244,001453958-0103
GB801990246,000220587-0103
GB801990262,000470842-0403
GB801040535,000856172-0401
GB801840047,000209417-0401
GB801000099,000186471-0202
GB801840046,002073724-0403
GB801990257,000478317-0103
GB801992435,000426744-0403
GB801952079,000238058-0103
GB801921112,000307022-0403
GB801921119,000448895-0103
GB801921116,000512318-0403
DB801140965,000820593-0103
GB801921594,000208607-0401
GB802090002,000248036-0503
GB801952065,000378607-0103
GB801040524,000081353-0103
GB802980057,002309488-0504
DB801191282,001429394-0403
GB802970024,000368489-0503
GB801992444,000337082-0103
GB801900846,000213885-0403
GB801030315,000321195-0103
GB801030316,000339124-0102
GB802980054,002451773-0503
GB801942005,000342252-0103
GB801050561,000160719-0401
DB801191243,000904652-0302
GB801050562,000268734-0103
GB801830016,000429386-0401
GB801910897,000477552-0403
GB802110010,000923243-0506
GB801992459,000243007-0103
GB801910891,002132376-0202
GB801930262,000894845-0204
GB801992474,000200692-0103
GB801992475,000388675-0102
GB801030304,000136022-0103
GB801920206,000451642-0403
GB801030305,001025974-0403
GB801942018,000282871-0401
GB801030301,000531854-0403
DB801950226,000547105-0206
DB801191254,000995541-0206
GB801942012,000086452-0101
GB801050576,000298819-0306
GB801171831,000988363-0403
DB801000716,001888961-0204
GB801171836,000345616-0103
GB801171837,000503405-0103
GB801171835,000471185-0102
GB801920234,002293975-0103
GB801050588,000115847-0103
GB801992484,000424057-0401
GB801111304,000391361-0102
GB801111307,000383894-0403
GB801920238,000412653-0102
GB801111301,0012296307-103
GB801992483,000155328-0103
GB801111302,000287864-0403
GB801050581,000205049-0103
GB801111308,000478989-0103
GB802830041,000459302-0505
GB802980030,002395287-0503
GB801050587,002199423-0403
GB802120023,000534036-0506
GB801952037,000524658-0401
GB801111310,000234042-0403
GB801992478,000385106-0403
GB801992477,000151375-0403
GB801952033,000793637-0403
GB801111316,000565082-0403
GB801111315,000776993-0103
GB801111311,000545663-0102
GB801050591,000464986-0102
GB801050592,000437602-0401
GB801050593,000199443-0103
GB801121364,000922451-0103
GB801050595,001737419-0403
GB801121361,001245086-0403
GB801050598,000533605-0103
GB801840070,000208528-0102
GB801840072,000219246-0103
GB801840074,000364279-0103
GB801952029,000256096-0403
GB801840078,000286127-0403
GB801111320,000182994-0403
GB802120018,001850605-0503
GB801161825,000558398-0103
GB801080859,001291032-0103
GB802990057,002233442-0505
GB801080858,000557834-0103
GB801161827,000887216-0103
GB801000702,000134544-0303
GB801161823,000528595-0103
GB801121371,001056966-0403
GB801070811,000121315-0403
GB801121370,000795884-0102
GB801070810,000172477-0103
GB801070813,000894096-0403
GB801070812,000421927-0103
GB801121375,002171489-0103
GB801030352,000423759-0103
GB801121372,000369775-0102
GB801950071,000377296-0403
GB801931793,002212588-0103
GB801171865,000175029-0103
GB801121368,000543982-0103
GB801171866,000208988-0404
GB801030360,000329288-0103
GB801171864,000225871-0103
GB801121365,000180323-0307
GB801171869,000148953-0102
GB801070815,000495263-0403
GB801230002,004339986-0102
GB801171861,000234006-0103
GB801080856,000570658-0401
GB801161829,001906632-0103
GB801171860,000405209-0102
GB801940030,001299328-0103
GB801111338,000534584-0103
GB801101192,000444049-0403
GB801101191,001462165-0103
GB801080846,001935528-0103
GB801111333,000241353-0403
GB801111335,000766564-0403
GB801121382,000345882-0403
GB801070800,000421372-0103
GB801161830,000326504-0103
GB801030347,000423662-0103
GB801121385,000819207-0102
GB801030341,000359682-0102
GB801121383,001281663-0401
GB801171876,000440863-0103
GB801070807,000841853-0203
GB801171874,000812939-0403
GB801070809,000210467-0103
GB801070804,000541074-0403
GB801840093,000354953-0403
GB801171878,000046574-0102
GB801970490,002325101-0204
GB801111340,000628666-0403
GB801900805,000206062-0401
GB801171872,000887701-0103
GB801171873,000223324-0102
GB801171870,000248203-0102
GB801080843,000366833-0103
GB801900804,000360721-0403
GB801080842,000530374-0103
GB801181895,000417982-0403
GB801161802,001292866-0102
GB801111349,001238587-0102
GB801111348,000374496-0403
GB801181897,000794571-0403
GB801181898,000354353-0103
GB801111345,000932756-0204
GB801111344,001762335-0403
GB801030339,000380934-0403
GB801121391,000774791-0301
GB801030335,000793285-0403
GB801960097,002390479-0103
GB801181890,000112395-0103
GB801181893,000234033-0103
GB801030331,002762052-0103
GB801101183,000189005-0102
DB801100617,000447961-0103
GB801171843,000799582-0103
GB801171844,000158825-0103
GB801121389,000330363-0305
GB801910877,000831169-0103
GB801931774,000368992-0103
GB801171842,000419424-0103
GB801121387,000340305-0102
GB801171847,000323801-0103
GB801171846,000453668-0102
DB801091056,000283681-0103
GB801080874,000411464-0103
GB801010724,000216288-0304
GB801111351,000237063-0102
GB801950059,000494295-0103
GB801080872,000524491-0403
GB801111353,000304682-0103
GB801080871,000602889-0102
GB801080878,000507112-0403
GB801111350,000382175-0403
GB801181885,000593847-0103
GB801181886,000451827-0103
GB801080869,000250469-0103
GB801161816,000150132-0403
